"sd_group","date","year","month","avrain"
"Central West",1923-10-01,1923,10,49.7839416058394
"Central West",1923-11-01,1923,11,30.0810218978102
"Central West",1923-12-01,1923,12,44.1992700729927
"Central West",1924-01-01,1924,1,31.5204379562044
"Central West",1924-02-01,1924,2,76.263503649635
"Central West",1924-03-01,1924,3,15.9299270072993
"Central West",1924-04-01,1924,4,52.8978102189781
"Central West",1924-05-01,1924,5,23.007299270073
"Central West",1924-06-01,1924,6,45.2233576642336
"Central West",1924-07-01,1924,7,39.7576642335766
"Central West",1924-08-01,1924,8,53.7978102189781
"Central West",1924-09-01,1924,9,75.5554744525548
"Central West",1924-10-01,1924,10,34.9744525547446
"Central West",1924-11-01,1924,11,143.548175182482
"Central West",1924-12-01,1924,12,35.1671532846715
"Central West",1925-01-01,1925,1,82.3963503649635
"Central West",1925-02-01,1925,2,47.1532846715328
"Central West",1925-03-01,1925,3,30.2226277372263
"Central West",1925-04-01,1925,4,8.45766423357664
"Central West",1925-05-01,1925,5,84.090510948905
"Central West",1925-06-01,1925,6,111.43503649635
"Central West",1925-07-01,1925,7,43.1094890510949
"Central West",1925-08-01,1925,8,33.0437956204379
"Central West",1925-09-01,1925,9,15.978102189781
"Central West",1925-10-01,1925,10,26.5452554744526
"Central West",1925-11-01,1925,11,67.3102189781022
"Central West",1925-12-01,1925,12,26.8109489051095
"Central West",1926-01-01,1926,1,25.9248175182482
"Central West",1926-02-01,1926,2,8.1941605839416
"Central West",1926-03-01,1926,3,160.905839416058
"Central West",1926-04-01,1926,4,97.7875912408759
"Central West",1926-05-01,1926,5,73.6189781021898
"Central West",1926-06-01,1926,6,43.6810218978102
"Central West",1926-07-01,1926,7,40.4963503649635
"Central West",1926-08-01,1926,8,40.2503649635036
"Central West",1926-09-01,1926,9,45.1175182481752
"Central West",1926-10-01,1926,10,19.8817518248175
"Central West",1926-11-01,1926,11,7.06788321167883
"Central West",1926-12-01,1926,12,77.5963503649635
"Central West",1927-01-01,1927,1,69.4941605839416
"Central West",1927-02-01,1927,2,7.57153284671533
"Central West",1927-03-01,1927,3,29.0693430656934
"Central West",1927-04-01,1927,4,55.0372262773722
"Central West",1927-05-01,1927,5,19.1554744525547
"Central West",1927-06-01,1927,6,18.5080291970803
"Central West",1927-07-01,1927,7,16.3124087591241
"Central West",1927-08-01,1927,8,25.2007299270073
"Central West",1927-09-01,1927,9,41.8956204379562
"Central West",1927-10-01,1927,10,51.0693430656934
"Central West",1927-11-01,1927,11,81.2802919708029
"Central West",1927-12-01,1927,12,34.3598540145985
"Central West",1928-01-01,1928,1,87.7160583941606
"Central West",1928-02-01,1928,2,187.797810218978
"Central West",1928-03-01,1928,3,75.5700729927007
"Central West",1928-04-01,1928,4,56.1160583941606
"Central West",1928-05-01,1928,5,21.5861313868613
"Central West",1928-06-01,1928,6,46.5540145985401
"Central West",1928-07-01,1928,7,64.2686131386861
"Central West",1928-08-01,1928,8,13.4700729927007
"Central West",1928-09-01,1928,9,13.1489051094891
"Central West",1928-10-01,1928,10,36.3883211678832
"Central West",1928-11-01,1928,11,17.992700729927
"Central West",1928-12-01,1928,12,9.08978102189781
"Central West",1929-01-01,1929,1,6.68248175182482
"Central West",1929-02-01,1929,2,71.5532846715328
"Central West",1929-03-01,1929,3,42.6094890510949
"Central West",1929-04-01,1929,4,40.9795620437956
"Central West",1929-05-01,1929,5,16.5014598540146
"Central West",1929-06-01,1929,6,25.4021897810219
"Central West",1929-07-01,1929,7,12.8197080291971
"Central West",1929-08-01,1929,8,48.2255474452555
"Central West",1929-09-01,1929,9,39.536496350365
"Central West",1929-10-01,1929,10,39.078102189781
"Central West",1929-11-01,1929,11,52.0737226277372
"Central West",1929-12-01,1929,12,58.7890510948905
"Central West",1930-01-01,1930,1,30.7715328467153
"Central West",1930-02-01,1930,2,21.1058394160584
"Central West",1930-03-01,1930,3,29.2540145985401
"Central West",1930-04-01,1930,4,25.7722627737226
"Central West",1930-05-01,1930,5,39.2277372262774
"Central West",1930-06-01,1930,6,79.5861313868613
"Central West",1930-07-01,1930,7,55.0912408759124
"Central West",1930-08-01,1930,8,53.9124087591241
"Central West",1930-09-01,1930,9,13.7737226277372
"Central West",1930-10-01,1930,10,97.2992700729927
"Central West",1930-11-01,1930,11,40.2007299270073
"Central West",1930-12-01,1930,12,90.5153284671533
"Central West",1931-01-01,1931,1,35.6379562043796
"Central West",1931-02-01,1931,2,18.3846715328467
"Central West",1931-03-01,1931,3,106.178832116788
"Central West",1931-04-01,1931,4,88.4693430656934
"Central West",1931-05-01,1931,5,134.029927007299
"Central West",1931-06-01,1931,6,101.255474452555
"Central West",1931-07-01,1931,7,46.7795620437956
"Central West",1931-08-01,1931,8,20.1795620437956
"Central West",1931-09-01,1931,9,39.1817518248175
"Central West",1931-10-01,1931,10,19.9788321167883
"Central West",1931-11-01,1931,11,46.9167883211679
"Central West",1931-12-01,1931,12,80.9007299270073
"Central West",1932-01-01,1932,1,4.02189781021898
"Central West",1932-02-01,1932,2,34.3992700729927
"Central West",1932-03-01,1932,3,86.2985401459854
"Central West",1932-04-01,1932,4,64.0620437956204
"Central West",1932-05-01,1932,5,16.6394160583942
"Central West",1932-06-01,1932,6,33.5182481751825
"Central West",1932-07-01,1932,7,37.6350364963504
"Central West",1932-08-01,1932,8,48.636496350365
"Central West",1932-09-01,1932,9,72.2715328467154
"Central West",1932-10-01,1932,10,26.3700729927007
"Central West",1932-11-01,1932,11,56.5890510948905
"Central West",1932-12-01,1932,12,33.0211678832117
"Central West",1933-01-01,1933,1,57.5810218978102
"Central West",1933-02-01,1933,2,2.04233576642336
"Central West",1933-03-01,1933,3,25.2868613138686
"Central West",1933-04-01,1933,4,42.4379562043796
"Central West",1933-05-01,1933,5,31.9335766423358
"Central West",1933-06-01,1933,6,29.7408759124088
"Central West",1933-07-01,1933,7,57.8189781021898
"Central West",1933-08-01,1933,8,20.7328467153285
"Central West",1933-09-01,1933,9,70.7788321167883
"Central West",1933-10-01,1933,10,42.7306569343066
"Central West",1933-11-01,1933,11,76.8576642335766
"Central West",1933-12-01,1933,12,64.5467153284672
"Central West",1934-01-01,1934,1,65.7649635036497
"Central West",1934-02-01,1934,2,120.189051094891
"Central West",1934-03-01,1934,3,8.91459854014599
"Central West",1934-04-01,1934,4,48.9481751824818
"Central West",1934-05-01,1934,5,5.91021897810219
"Central West",1934-06-01,1934,6,46.8021897810219
"Central West",1934-07-01,1934,7,84.7386861313868
"Central West",1934-08-01,1934,8,65.7569343065694
"Central West",1934-09-01,1934,9,32.7138686131387
"Central West",1934-10-01,1934,10,106.54598540146
"Central West",1934-11-01,1934,11,88.1328467153284
"Central West",1934-12-01,1934,12,38.2248175182482
"Central West",1935-01-01,1935,1,62.4372262773723
"Central West",1935-02-01,1935,2,43.114598540146
"Central West",1935-03-01,1935,3,10.8255474452555
"Central West",1935-04-01,1935,4,70.7160583941606
"Central West",1935-05-01,1935,5,17.2021897810219
"Central West",1935-06-01,1935,6,18.9204379562044
"Central West",1935-07-01,1935,7,45.2518248175182
"Central West",1935-08-01,1935,8,27.5642335766423
"Central West",1935-09-01,1935,9,40.9138686131387
"Central West",1935-10-01,1935,10,59.9620437956204
"Central West",1935-11-01,1935,11,17.4211678832117
"Central West",1935-12-01,1935,12,44.9270072992701
"Central West",1936-01-01,1936,1,90.2094890510949
"Central West",1936-02-01,1936,2,88.8007299270073
"Central West",1936-03-01,1936,3,80.136496350365
"Central West",1936-04-01,1936,4,22.3007299270073
"Central West",1936-05-01,1936,5,26.1773722627737
"Central West",1936-06-01,1936,6,53.4868613138686
"Central West",1936-07-01,1936,7,81.1627737226277
"Central West",1936-08-01,1936,8,44.1065693430657
