"year","month","rain_bom_stn","rain_awap","rain_emast"
1930,6,135.5,146.399993896484,NA
1930,7,37.8,46.2000007629395,NA
1930,8,12.3,19.1000003814697,NA
1930,9,1.1,2.09999990463257,NA
1930,10,55.9,48.9000015258789,NA
1930,11,29.3,32.2000007629395,NA
1930,12,79.4,111.599998474121,NA
1931,1,29.2,36,NA
1931,2,58.9,54.2999992370605,NA
1931,3,154.2,146,NA
1931,4,191.4,211,NA
1931,5,78.6,71.6999969482422,NA
1931,6,17.8,12.6999998092651,NA
1931,7,138,160.199996948242,NA
1931,8,14.1,7.5,NA
1931,9,75,83.5,NA
1931,10,20.1,19.6000003814697,NA
1931,11,96.4,120.300003051758,NA
1931,12,112.1,128.399993896484,NA
1932,1,36.1,28.2000007629395,NA
1932,2,91,100.5,NA
1932,3,98.4,93.8000030517578,NA
1932,4,43,61,NA
1932,5,16.9,16,NA
1932,6,21.2,13.1999998092651,NA
1932,7,32.5,35,NA
1932,8,49.6,74.0999984741211,NA
1932,9,134.7,146.100006103516,NA
1932,10,16.3,20.1000003814697,NA
1932,11,106,73,NA
1932,12,47.1,75.4000015258789,NA
1933,1,163.9,170.699996948242,NA
1933,2,6.6,5.19999980926514,NA
1933,3,68.1,67.6999969482422,NA
1933,4,173.1,194.100006103516,NA
1933,5,82.7,71.0999984741211,NA
1933,6,39,33,NA
1933,7,72.7,73.4000015258789,NA
1933,8,0,1.20000004768372,NA
1933,9,91.4,86.6999969482422,NA
1933,10,72.5,73,NA
1933,11,79.5,90.0999984741211,NA
1933,12,70.4,86.5,NA
1934,1,90.6,65,NA
1934,2,180.1,200.199996948242,NA
1934,3,26.2,26.8999996185303,NA
1934,4,119.4,111.599998474121,NA
1934,5,53,59,NA
1934,6,61.8,65.5,NA
1934,7,162,166.5,NA
1934,8,70.3,82.4000015258789,NA
1934,9,134.5,132.199996948242,NA
1934,10,43.7,48.9000015258789,NA
1934,11,85,99.3000030517578,NA
1934,12,42,59.5,NA
1935,1,63.4,62.7000007629395,NA
1935,2,145.7,154.100006103516,NA
1935,3,48.2,46.5,NA
1935,4,37.6,32.7999992370605,NA
1935,5,20.9,11.6000003814697,NA
1935,6,14.8,10.5,NA
1935,7,35.3,32.9000015258789,NA
1935,8,2.6,5,NA
1935,9,40.9,50.2999992370605,NA
1935,10,84,94.3000030517578,NA
1935,11,42.1,47.2999992370605,NA
1935,12,110.5,135.800003051758,NA
1936,1,85.8,98.6999969482422,NA
1936,2,129,131.699996948242,NA
1936,3,108.5,114.199996948242,NA
1936,4,41.7,45,NA
1936,5,16.8,25.8999996185303,NA
1936,6,55.8,55,NA
1936,7,19.1,16.7999992370605,NA
1936,8,14.8,17.8999996185303,NA
1936,9,11.2,13.3999996185303,NA
1936,10,18.4,12.1000003814697,NA
1936,11,21.1,26.2999992370605,NA
1936,12,155.5,136.800003051758,NA
1937,1,65.9,62.7000007629395,NA
1937,2,25.2,34.2000007629395,NA
1937,3,127.7,131.300003051758,NA
1937,4,42.5,36.5999984741211,NA
1937,5,14.7,13.1999998092651,NA
1937,6,245,211.300003051758,NA
1937,7,22.9,28,NA
1937,8,50.3,62.4000015258789,NA
1937,9,7.1,11.1999998092651,NA
1937,10,48.7,58.0999984741211,NA
1937,11,79.3,106.5,NA
1937,12,60.8,86.5,NA
1938,1,164.2,152.699996948242,NA
1938,2,51.2,55.7999992370605,NA
1938,3,20.3,31,NA
1938,4,40.7,42.2000007629395,NA
1938,5,72.4,65.5999984741211,NA
1938,6,7.6,8.80000019073486,NA
1938,7,59.1,52.5,NA
1938,8,129.6,157.300003051758,NA
1938,9,32,32.0999984741211,NA
1938,10,122.9,127.099998474121,NA
1938,11,40.8,34.7999992370605,NA
1938,12,6.6,8.39999961853027,NA
1939,1,62.7,65.8000030517578,NA
1939,2,3.3,2.20000004768372,NA
1939,3,136.2,142.699996948242,NA
1939,4,82.3,85.3000030517578,NA
1939,5,32.1,29.7999992370605,NA
1939,6,12.2,11.6000003814697,NA
1939,7,10.5,12.6000003814697,NA
1939,8,38.1,52.4000015258789,NA
1939,9,35.3,34.2999992370605,NA
1939,10,61.6,58.0999984741211,NA
1939,11,56.1,65.0999984741211,NA
1939,12,12.2,14,NA
1940,1,19.1,18.7999992370605,NA
1940,2,8.3,8.89999961853027,NA
1940,3,5.1,4.09999990463257,NA
1940,4,107.7,116.300003051758,NA
1940,5,9.4,12.6999998092651,NA
1940,6,12.8,9.89999961853027,NA
1940,7,22.1,21.7000007629395,NA
1940,8,8.7,12.5,NA
1940,9,55.8,76,NA
1940,10,13.4,18.3999996185303,NA
1940,11,71.3,69,NA
1940,12,187.2,239.100006103516,NA
1941,1,72.6,97.3000030517578,NA
1941,2,45.3,51.7999992370605,NA
1941,3,18.6,19.8999996185303,NA
1941,4,83.6,64.5999984741211,NA
1941,5,20,19.2000007629395,NA
