Product code,Station number,Year,Month,Monthly Precipitation Total (millimetres),Quality
IDCJAC0001,67019,1922,09,70.7,Y
IDCJAC0001,67019,1922,10,61.2,Y
IDCJAC0001,67019,1922,11,16.2,Y
IDCJAC0001,67019,1922,12,52.3,Y
IDCJAC0001,67019,1923,01,60.7,Y
IDCJAC0001,67019,1923,02,12.9,Y
IDCJAC0001,67019,1923,03,11.5,Y
IDCJAC0001,67019,1923,04,78.6,Y
IDCJAC0001,67019,1923,05,17.0,Y
IDCJAC0001,67019,1923,06,85.5,Y
IDCJAC0001,67019,1923,07,163.9,Y
IDCJAC0001,67019,1923,08,90.0,Y
IDCJAC0001,67019,1923,09,46.3,Y
IDCJAC0001,67019,1923,10,30.3,Y
IDCJAC0001,67019,1923,11,34.3,Y
IDCJAC0001,67019,1923,12,36.4,Y
IDCJAC0001,67019,1924,01,63.3,Y
IDCJAC0001,67019,1924,02,125.4,Y
IDCJAC0001,67019,1924,03,92.6,Y
IDCJAC0001,67019,1924,04,132.4,Y
IDCJAC0001,67019,1924,05,19.1,Y
IDCJAC0001,67019,1924,06,12.1,Y
IDCJAC0001,67019,1924,07,29.7,Y
IDCJAC0001,67019,1924,08,48.0,Y
IDCJAC0001,67019,1924,09,62.0,Y
IDCJAC0001,67019,1924,10,22.4,Y
IDCJAC0001,67019,1924,11,82.5,Y
IDCJAC0001,67019,1924,12,57.0,Y
IDCJAC0001,67019,1925,01,81.2,Y
IDCJAC0001,67019,1925,02,15.5,Y
IDCJAC0001,67019,1925,03,62.3,Y
IDCJAC0001,67019,1925,04,12.3,Y
IDCJAC0001,67019,1925,05,187.1,Y
IDCJAC0001,67019,1925,06,106.4,Y
IDCJAC0001,67019,1925,07,6.6,Y
IDCJAC0001,67019,1925,08,46.6,Y
IDCJAC0001,67019,1925,09,10.2,Y
IDCJAC0001,67019,1925,10,17.0,Y
IDCJAC0001,67019,1925,11,63.0,Y
IDCJAC0001,67019,1925,12,19.9,Y
IDCJAC0001,67019,1926,01,20.9,Y
IDCJAC0001,67019,1926,02,10.6,Y
IDCJAC0001,67019,1926,03,152.2,Y
IDCJAC0001,67019,1926,04,62.2,Y
IDCJAC0001,67019,1926,05,62.3,Y
IDCJAC0001,67019,1926,06,54.1,Y
IDCJAC0001,67019,1926,07,30.4,Y
IDCJAC0001,67019,1926,08,22.0,Y
IDCJAC0001,67019,1926,09,45.0,Y
IDCJAC0001,67019,1926,10,12.1,Y
IDCJAC0001,67019,1926,11,3.8,Y
IDCJAC0001,67019,1926,12,132.9,Y
IDCJAC0001,67019,1927,01,133.3,Y
IDCJAC0001,67019,1927,02,9.2,Y
IDCJAC0001,67019,1927,03,71.9,Y
IDCJAC0001,67019,1927,04,310.2,Y
IDCJAC0001,67019,1927,05,18.2,Y
IDCJAC0001,67019,1927,06,26.0,Y
IDCJAC0001,67019,1927,07,1.0,Y
IDCJAC0001,67019,1927,08,4.6,Y
IDCJAC0001,67019,1927,09,19.5,Y
IDCJAC0001,67019,1927,10,54.5,Y
IDCJAC0001,67019,1927,11,136.1,Y
IDCJAC0001,67019,1927,12,31.7,Y
IDCJAC0001,67019,1928,01,47.9,Y
IDCJAC0001,67019,1928,02,195.6,Y
IDCJAC0001,67019,1928,03,88.5,Y
IDCJAC0001,67019,1928,04,59.6,Y
IDCJAC0001,67019,1928,05,16.7,Y
IDCJAC0001,67019,1928,06,157.4,Y
IDCJAC0001,67019,1928,07,78.9,Y
IDCJAC0001,67019,1928,08,8.1,Y
IDCJAC0001,67019,1928,09,4.2,Y
IDCJAC0001,67019,1928,10,38.7,Y
IDCJAC0001,67019,1928,11,2.9,Y
IDCJAC0001,67019,1928,12,25.4,Y
IDCJAC0001,67019,1929,01,3.9,Y
IDCJAC0001,67019,1929,02,287.9,Y
IDCJAC0001,67019,1929,03,60.5,Y
IDCJAC0001,67019,1929,04,72.9,Y
IDCJAC0001,67019,1929,05,90.4,Y
IDCJAC0001,67019,1929,06,38.9,Y
IDCJAC0001,67019,1929,07,46.7,Y
IDCJAC0001,67019,1929,08,50.7,Y
IDCJAC0001,67019,1929,09,70.9,Y
IDCJAC0001,67019,1929,10,191.3,Y
IDCJAC0001,67019,1929,11,71.8,Y
IDCJAC0001,67019,1929,12,33.1,Y
IDCJAC0001,67019,1930,01,92.1,Y
IDCJAC0001,67019,1930,02,25.7,Y
IDCJAC0001,67019,1930,03,88.2,Y
IDCJAC0001,67019,1930,04,54.5,Y
IDCJAC0001,67019,1930,05,57.2,Y
IDCJAC0001,67019,1930,06,135.5,Y
IDCJAC0001,67019,1930,07,37.8,Y
IDCJAC0001,67019,1930,08,12.3,Y
IDCJAC0001,67019,1930,09,1.1,Y
IDCJAC0001,67019,1930,10,55.9,Y
IDCJAC0001,67019,1930,11,29.3,Y
IDCJAC0001,67019,1930,12,79.4,Y
IDCJAC0001,67019,1931,01,29.2,Y
IDCJAC0001,67019,1931,02,58.9,Y
IDCJAC0001,67019,1931,03,154.2,Y
IDCJAC0001,67019,1931,04,191.4,Y
IDCJAC0001,67019,1931,05,78.6,Y
IDCJAC0001,67019,1931,06,17.8,Y
IDCJAC0001,67019,1931,07,138.0,Y
IDCJAC0001,67019,1931,08,14.1,Y
IDCJAC0001,67019,1931,09,75.0,Y
IDCJAC0001,67019,1931,10,20.1,Y
IDCJAC0001,67019,1931,11,96.4,Y
IDCJAC0001,67019,1931,12,112.1,Y
IDCJAC0001,67019,1932,01,36.1,Y
IDCJAC0001,67019,1932,02,91.0,Y
IDCJAC0001,67019,1932,03,98.4,Y
IDCJAC0001,67019,1932,04,43.0,Y
